Series_reference,Period,Data_value,Suppressed,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3
24,2012.06,73075.8709314224,0,1,6,0,0,2,24,1
19,2011.06,73075.8709314224,0,1,6,0,0,2,15,2
71,2019.03,73075.8709314224,0,1,6,0,1,2,28,2
56,2016.12,73075.8709314224,0,1,6,0,1,2,34,1
20,2013.03,73075.8709314224,0,1,6,0,0,2,11,1
40,2019.12,73075.8709314224,0,1,6,0,1,2,21,1
26,2016.12,73075.8709314224,0,1,6,0,0,2,1,1
28,2014.03,73075.8709314224,0,1,6,0,0,2,25,1
16,2018.03,73075.8709314224,0,1,6,0,0,2,32,1
58,2013.12,73075.8709314224,0,1,6,0,1,2,30,1
11,2019.06,73075.8709314224,0,1,6,0,0,2,36,2
37,2014.12,73075.8709314224,0,1,6,0,0,2,23,2
4,2011.09,73075.8709314224,0,1,6,0,0,2,17,1
44,2013.03,73075.8709314224,0,1,6,0,1,2,33,1
38,2018.06,73075.8709314224,0,1,6,0,0,2,31,1
17,2020.09,73075.8709314224,0,1,6,0,0,2,32,2
6,2012.06,73075.8709314224,0,1,6,0,0,2,10,1
66,2013.06,73075.8709314224,0,1,6,0,1,2,7,1
35,2015.06,73075.8709314224,0,1,6,0,0,2,4,2
45,2017.09,73075.8709314224,0,1,6,0,1,2,33,2
2,2016.12,73075.8709314224,0,1,6,0,0,2,19,1
8,2012.03,73075.8709314224,0,1,6,0,0,2,8,1
20,2018.03,73075.8709314224,0,1,6,0,0,2,11,1
21,2013.12,73075.8709314224,0,1,6,0,0,2,11,2
15,2018.03,73075.8709314224,0,1,6,0,0,2,0,2
66,2018.09,73075.8709314224,0,1,6,0,1,2,7,1
6,2018.03,73075.8709314224,0,1,6,0,0,2,10,1
18,2018.03,73075.8709314224,0,1,6,0,0,2,15,1
50,2017.03,73075.8709314224,0,1,6,0,1,2,13,1
48,2014.12,73075.8709314224,0,1,6,0,1,2,12,1
49,2020.09,73075.8709314224,0,1,6,0,1,2,12,2
4,2017.03,73075.8709314224,0,1,6,0,0,2,17,1
25,2020.03,73075.8709314224,0,1,6,0,0,2,24,2
35,2014.06,73075.8709314224,0,1,6,0,0,2,4,2
31,2011.09,73075.8709314224,0,1,6,0,0,2,9,2
46,2016.03,73075.8709314224,0,1,6,0,1,2,6,1
22,2019.03,73075.8709314224,0,1,6,0,0,2,26,1
12,2014.06,73075.8709314224,0,1,6,0,0,2,27,1
34,2017.06,73075.8709314224,0,1,6,0,0,2,4,1
59,2012.09,73075.8709314224,0,1,6,0,1,2,30,2
47,2014.12,73075.8709314224,0,1,6,0,1,2,6,2
30,2015.09,73075.8709314224,0,1,6,0,0,2,9,1
48,2013.03,73075.8709314224,0,1,6,0,1,2,12,1
58,2017.06,73075.8709314224,0,1,6,0,1,2,30,1
39,2014.03,73075.8709314224,0,1,6,0,0,2,31,2
19,2012.09,73075.8709314224,0,1,6,0,0,2,15,2
41,2011.12,73075.8709314224,0,1,6,0,1,2,21,2
44,2012.09,73075.8709314224,0,1,6,0,1,2,33,1
52,2020.03,73075.8709314224,0,1,6,0,1,2,29,1
33,2017.12,73075.8709314224,0,1,6,0,0,2,14,2
6,2014.09,73075.8709314224,0,1,6,0,0,2,10,1
65,2011.06,73075.8709314224,0,1,6,0,1,2,35,2
49,2012.03,73075.8709314224,0,1,6,0,1,2,12,2
8,2020.03,73075.8709314224,0,1,6,0,0,2,8,1
21,2017.03,73075.8709314224,0,1,6,0,0,2,11,2
41,2012.03,73075.8709314224,0,1,6,0,1,2,21,2
55,2013.09,73075.8709314224,0,1,6,0,1,2,16,2
28,2015.12,73075.8709314224,0,1,6,0,0,2,25,1
63,2018.09,73075.8709314224,0,1,6,0,1,2,18,2
40,2017.03,73075.8709314224,0,1,6,0,1,2,21,1
39,2015.03,73075.8709314224,0,1,6,0,0,2,31,2
11,2015.06,73075.8709314224,0,1,6,0,0,2,36,2
15,2019.06,73075.8709314224,0,1,6,0,0,2,0,2
43,2017.09,73075.8709314224,0,1,6,0,1,2,5,2
28,2012.09,73075.8709314224,0,1,6,0,0,2,25,1
37,2018.09,73075.8709314224,0,1,6,0,0,2,23,2
45,2014.06,73075.8709314224,0,1,6,0,1,2,33,2
36,2013.09,73075.8709314224,0,1,6,0,0,2,23,1
61,2020.09,73075.8709314224,0,1,6,0,1,2,20,2
14,2011.09,73075.8709314224,0,1,6,0,0,2,0,1
40,2019.09,73075.8709314224,0,1,6,0,1,2,21,1
6,2018.09,73075.8709314224,0,1,6,0,0,2,10,1
28,2019.09,73075.8709314224,0,1,6,0,0,2,25,1
42,2020.06,73075.8709314224,0,1,6,0,1,2,5,1
9,2011.12,73075.8709314224,0,1,6,0,0,2,8,2
5,2014.09,73075.8709314224,0,1,6,0,0,2,17,2
43,2020.06,73075.8709314224,0,1,6,0,1,2,5,2
35,2012.03,73075.8709314224,0,1,6,0,0,2,4,2
71,2013.12,73075.8709314224,0,1,6,0,1,2,28,2
56,2011.06,73075.8709314224,0,1,6,0,1,2,34,1
59,2018.09,73075.8709314224,0,1,6,0,1,2,30,2
1,2015.12,73075.8709314224,0,1,6,0,0,2,2,2
56,2019.03,73075.8709314224,0,1,6,0,1,2,34,1
65,2013.06,73075.8709314224,0,1,6,0,1,2,35,2
14,2015.03,73075.8709314224,0,1,6,0,0,2,0,1
5,2019.12,73075.8709314224,0,1,6,0,0,2,17,2
60,2015.12,73075.8709314224,0,1,6,0,1,2,20,1
74,2011.12,73075.8709314224,0,0,0,0,2,1,3,0
20,2020.09,73075.8709314224,0,1,6,0,0,2,11,1
52,2017.03,73075.8709314224,0,1,6,0,1,2,29,1
23,2012.03,73075.8709314224,0,1,6,0,0,2,26,2
69,2019.03,73075.8709314224,0,1,6,0,1,2,22,2
25,2017.06,73075.8709314224,0,1,6,0,0,2,24,2
10,2019.12,73075.8709314224,0,1,6,0,0,2,36,1
1,2018.12,73075.8709314224,0,1,6,0,0,2,2,2
54,2018.03,73075.8709314224,0,1,6,0,1,2,16,1
35,2012.09,73075.8709314224,0,1,6,0,0,2,4,2
38,2020.03,73075.8709314224,0,1,6,0,0,2,31,1
40,2014.06,73075.8709314224,0,1,6,0,1,2,21,1
59,2015.12,73075.8709314224,0,1,6,0,1,2,30,2
15,2020.03,73075.8709314224,0,1,6,0,0,2,0,2
17,2015.06,73075.8709314224,0,1,6,0,0,2,32,2
58,2017.12,73075.8709314224,0,1,6,0,1,2,30,1
50,2018.12,73075.8709314224,0,1,6,0,1,2,13,1
40,2012.12,73075.8709314224,0,1,6,0,1,2,21,1
38,2013.09,73075.8709314224,0,1,6,0,0,2,31,1
45,2013.12,73075.8709314224,0,1,6,0,1,2,33,2
59,2020.12,73075.8709314224,0,1,6,0,1,2,30,2
63,2020.12,73075.8709314224,0,1,6,0,1,2,18,2
